,Title,Clean Title,Content,Clean Content,Rating,Sentiment,Target
47,Good value waterproof bluetooth earbuds with some nice features,good value waterproof bluetooth earbuds nice features,"I have used a few different low-end and mid-range bluetooth earbuds so have something to compare these with. These are my impressions:Convenience - the charging case is very compact and comfortably shaped. For me. It is slim enough to keep in a jeans pocket full time without being uncomfortable. The IPX8 waterproofness is really handy if you want to use them in the shower or bath. I have tested the waterproofness of the earbuds by using them in the shower.Charging - the ability to charge the charging case wirelessly (using a Qi charging pad) is good to reduce the number of USB cables I need to carry, especially once I found I that could even charge the case wirelessly from my Samsung phone (though this will only work if your phone has Samsung's Wireless PowerShare support).Comfort in use - once I had found the best fitting silicone tips (which were a size smaller than the ones I tried first), these are as comfortable as any earbuds I have tried. They don't stick out too much and nor do",used different lowend midrange bluetooth earbuds something compare impressionsconvenience charging case compact comfortably shaped slim enough keep jeans pocket full time without uncomfortable ipx8 waterproofness really handy want use shower bath tested waterproofness earbuds using showercharging ability charge charging case wirelessly using qi charging pad good reduce number usb cables need carry especially found could even charge case wirelessly samsung phone though work phone samsungs wireless powershare supportcomfort use found best fitting silicone tips size smaller ones tried first comfortable earbuds tried stick much,5,Positive,2
48,Speak Up,speak,"Not quite as good as the Apple, but far, far cheaper.",quite good apple far far cheaper,4,Positive,2
49,Fast charging time,fast charging time,The sound quality & the volume aren't that good..,sound quality volume good,3,Neutral,1
50,"Easy to use, comfortable good value",easy use comfortable good value,"Saw these and ordered the black ones. Arrived on time the next day. Packaging small and well thought out found the ear plugs laid out on opening and the (station) case, with spare earplugs in a separate container underneath, the lead for charging. Came charged and ready to go. I put the ear plugs in their case and they automatically paired with themselves. Instructions were easy to follow. Paired with my iPhone 11 very quickly. Easy to control for volume, pause and changing tracks. These are easy to use I have small fingers but the plugs seem to sit nicely in the ear so if you have large fingers I can’t see them being an issue when using the functionality of each plug. Sound quality for the money is not bad nor is the noise cancelling. I’ve only just got them so can’t comment on the length of charge or comfort of wearing buds for a long time periods. Very impressed.",saw ordered black ones arrived time next day packaging small well thought found ear plugs laid opening station case spare earplugs separate container underneath lead charging came charged ready go put ear plugs case automatically paired instructions easy follow paired iphone eleven quickly easy control volume pause changing tracks easy use small fingers plugs seem sit nicely ear large fingers cannot see issue using functionality plug sound quality money bad noise cancelling got cannot comment length charge comfort wearing buds long time periods impressed,4,Positive,2
51,Amazing,amazing,Had these for a about a year now nNot had any problemsBattery life lasts for agesPerfect alternative for expensive earphones,year nnot problemsbattery life lasts agesperfect alternative expensive earphones,4,Positive,2
52,Tozo T6 Waterproof Wireless Earbuds - Superb!,tozo t6 waterproof wireless earbuds superb,"This Tozo T6 waterproof wireless earbud set is easily the best I’ve tried. It paired straight out of the box with my iPhone 8 and played beautifully from my iTunes records.Once I found the right rubber covers for my ears there was no problem. I do treadmill running and found no problem keeping them in. I watch catchup tv on my phone and the sound quality absorbed me into the programme and away from the strenuous regime... thanks Tozo!Price is great... I’m glad I didn’t go for anything less and be disappointed ...again!!! Sweaty face or hands don’t affect the operation not performance - the buds stay put and my fingers don’t slip if I’m handing calls or reversing or forwarding tracks. I love the little voice telling you what you’ve done so you know you haven’t pressed wrong.My only niggle is sometimes when touching for the ‘Pause’ function there’s a very slight delay before the music stops which meant I touched it again ... starting the play... of course, after a couple of goes I got th",tozo t6 waterproof wireless earbud set easily best tried paired straight box iphone eight played beautifully itunes recordsonce found right rubber covers ears problem treadmill running found problem keeping watch catchup tv phone sound quality absorbed programme away strenuous regime thanks tozoprice great glad go anything less disappointed sweaty face hands affect operation performance buds stay put fingers slip handing calls reversing forwarding tracks love little voice telling done know pressed wrongmy niggle sometimes touching pause function slight delay music stops meant touched starting play course couple goes got th,4,Positive,2
53,"Resilient, great",resilient great,"These are still going strong after a year and a half of constant use. They went through the wash and still work. Amazing battery life, can't fault them",still going strong year half constant use went wash still work amazing battery life cannot fault,5,Positive,2
54,Great quality product at this price point,great quality product price point,"The presentation of these ear buds is something that would leave Tim Cook sweaty and breathing heavily.They come nicely packaged with 3 additional sets of rubber insert thingies and a micro-USB cable in very smart packaging.They feel robust and of high quality. They don't have the cheap plastic feel of other headphones I've owned. The charging case is a convenient size and easy to open. It closes with a satisfying click, and the ear buds also slip into their magnetised housing nicely. Battery indicators on the outside of the case are welcome, as is the wireless charging capability for those of us too lazy to simple plug it in!Pairing is easy; I placed mine into the charging box, removed them again and they popped up on my phone.I tried a couple of different sized rubber thingies to find the right fit; I can shake my head aggressively (as one does) without the ear buds moving at all. They don't feel like they're going to fall out despite the lack of over-ear support but I don't foresee ",presentation ear buds something would leave tim cook sweaty breathing heavilythey come nicely packaged three additional sets rubber insert thingies microusb cable smart packagingthey feel robust high quality cheap plastic feel headphones owned charging case convenient size easy open closes satisfying click ear buds also slip magnetised housing nicely battery indicators outside case welcome wireless charging capability us lazy simple plug inpairing easy placed mine charging box removed popped phonei tried couple different sized rubber thingies find right fit shake head aggressively one without ear buds moving feel like going fall despite lack overear support foresee,5,Positive,2
55,Fantastic value for money,fantastic value money,"For the money, these headphones are the best purchase I've ever made. The sound quality is not going to be the best audio quality out there - but for the price, it's amazingly good. The touch controls can be a little tricky to get used to, but its still a nice feature to have. The passive noise cancellation is also surprisingly good.The headphones are easy to use and easy to pair. Whilst audiophiles may not appreciate the audio quality, I think most people will be perfectly happy with it - especially at this price point. The value for money is amazingThey charge wirelessly. There are a few different tip sizes to choose for the earbuds, and they've never fallen out of my ears.Most important is the customer service. I contacted the support team as I had an issue. They were incredibly helpful, replied very quickly and were very accommodating - most customer service teams seem to ignore you these days.Given the budget price of these headphones, I would (and have done) recommend these to an",money headphones best purchase ever made sound quality going best audio quality price amazingly good touch controls little tricky get used still nice feature passive noise cancellation also surprisingly goodthe headphones easy use easy pair whilst audiophiles may appreciate audio quality think people perfectly happy especially price point value money amazingthey charge wirelessly different tip sizes choose earbuds never fallen earsmost important customer service contacted support team issue incredibly helpful replied quickly accommodating customer service teams seem ignore daysgiven budget price headphones would done recommend,5,Positive,2
56,It's ok,ok,The right bud keeps falling out of my ear. Other than that it's fine so far.,right bud keeps falling ear fine far,4,Positive,2
57,Amazing value!!,amazing value,"I got the pink ones and they’re lush!! The packaging they come in is very smart, would make a great present for someone! Love the fact they’re waterproof and they come with a nice selection of ear buds to make sure they fit :) theyre quite bass-heavy but I don’t mind this 😁 Overall very pleased 😁 the box is a nice design and holds the ear buds well, with lights to indicate the charge level xx",got pink ones lush packaging come smart would make great present someone love fact waterproof come nice selection ear buds make sure fit quite bassheavy mind overall pleased box nice design holds ear buds well lights indicate charge level xx,4,Positive,2
58,Correct fitting makes the difference,correct fitting makes difference,"I purchased these Tozo T6 earbuds in Jan 2022 and love them. They are comfy and sound great. There's a tendency with earbuds just to push them in and hope for the best and I started by doing just that, and found that they were uncomfortable and fell out easily. But after actually reading the instructions and playing for a few minutes, getting them oriented properly makes a massive difference.The trick is to orient the rubber earpiece and microphone hole to the front of your head and slide the bud in horizontally. A gentle push and it fits beautifully (well, on my head at least). If you look in a mirror and it looks like you've got a small ebony pyramid growing out of your ear, you've got them in wrong!A second tip is not to open your music app or youtube until you've got them in. All the handling can register as button presses before you're ready to go. Youtube annoying moves to the next unrelated video if you're not careful.In May the right earpiece stopped working. As it was past the",purchased tozo t6 earbuds jan two thousand and twenty-two love comfy sound great tendency earbuds push hope best started found uncomfortable fell easily actually reading instructions playing minutes getting oriented properly makes massive differencethe trick orient rubber earpiece microphone hole front head slide bud horizontally gentle push fits beautifully well head least look mirror looks like got small ebony pyramid growing ear got wronga second tip open music app youtube got handling register button presses ready go youtube annoying moves next unrelated video carefulin may right earpiece stopped working past,5,Positive,2
59,"Love them, maybe too much",love maybe much,"I've not had them or used them long enough to talk about the battery life but I will update soon. Delivery was exceptional, I ordered shortly before midnight and the pods were in my hands by 13.30, approximately 14hrs delivery time, unbelievable.They come already charged to some degree but I decided to fully charge them before testing them. About an hour or so later the case had 4 lights lit, so all systems go. Instructions were very easy to read and understand, truth is, everything was automatic so instructions were almost redundant as far as getting started was concerned. I pull the pods out of the case...they came, I pulled out my phone and checked the Available Devices and Too T6 was already there, I clicked on T6 and accepted the device and they immediately started functioning as speakers.Sound quality is very good, I've paid more in the past and got less. I'm particularly fussy about both sound quality and available volume and these check in quite high on both. The sound has enou","used long enough talk battery life update soon delivery exceptional ordered shortly midnight pods hands one thousand, three hundred and thirty approximately 14hrs delivery time unbelievablethey come already charged degree decided fully charge testing hour later case four lights lit systems go instructions easy read understand truth everything automatic instructions almost redundant far getting started concerned pull pods casethey came pulled phone checked available devices t6 already clicked t6 accepted device immediately started functioning speakerssound quality good paid past got less particularly fussy sound quality available volume check quite high sound enou",5,Positive,2
60,Great earbuds for fraction of price of Apple AirPods Pro,great earbuds fraction price apple airpods pro,"I don't usually write reviews but I spent ages reading reviews about earbuds I thought I'd return the favour!The main things I was looking for when purchasing earbuds were comfortablity, fit (or selection of buds), sturdiness (would they fall out as soon as I start exercising) and battery life.Admittedly I haven't done a full hardcore run/exercise yet so will update this review when I do.Comfortablity and fit was a big hestitate for me ordering ear buds, and one of the reasons I hadn't purchased Apple Airpods, but I must say as you get a selection of 6 different pairs of buds you're more than likely to get an even better fit than apple (which is something they should advertise as I would have purchased them sooner!) Ironically enough the 6th choice of buds that came already on the headphones fit me perfectly so I haven't had to try any others yet but it's great to have the back-ups/options.Connectivity: Connecting to my phone took about 3 seconds, really it was that simple! Just took t",usually write reviews spent ages reading reviews earbuds thought would return favourthe main things looking purchasing earbuds comfortablity fit selection buds sturdiness would fall soon start exercising battery lifeadmittedly done full hardcore runexercise yet update review docomfortablity fit big hestitate ordering ear buds one reasons purchased apple airpods must say get selection six different pairs buds likely get even better fit apple something advertise would purchased sooner ironically enough 6th choice buds came already headphones fit perfectly try others yet great backupsoptionsconnectivity connecting phone took three seconds really simple took,5,Positive,2
61,Great budget earbuds,great budget earbuds,"I had been debating for some time about whether to invest in true wireless earbuds, but didn't want to spend Apple prices on a first pair.After looking around at the many different options available, I opted for the Tozo T6. My decision was based on reviews and price; at £25 I figured that this wouldn't be a major financial loss if I didn't like or get on with them.The earbuds arrived earlier than expected, and first impressions was how smart the outer packaging was, and the charging case smart and compact. The earbuds them themselves were very quick and easy to connect to my iPhone and fitted securely in my ears and don't feel like they will fall out.For the price the sound quality is exceptionally good, clear vocals with a decent base and mid-tones, and easily compare with the wired branded earphones I own. There has been no loss of connection and they feel very comfortable when running, but there is a little background noise so I wouldn't say that they are completely noise cancellin",debating time whether invest true wireless earbuds want spend apple prices first pairafter looking around many different options available opted tozo t6 decision based reviews price twenty-five figured would major financial loss like get themthe earbuds arrived earlier expected first impressions smart outer packaging charging case smart compact earbuds quick easy connect iphone fitted securely ears feel like fall outfor price sound quality exceptionally good clear vocals decent base midtones easily compare wired branded earphones loss connection feel comfortable running little background noise would say completely noise cancellin,5,Positive,2
62,Charging issues,charging issues,"The earpieces are comfortable & no issues with the sound quality & would love these but the issue is with the charging cable that inserts into the charger box is poor. I bought the first pair 6 months ago after about 2 months the unit stopped charging cable stopped working. I complained and promptly received a complete set of new headphones, charging box & cable.Today the same thing has happened - initially the charger light comes on then cuts out - if you wriggle the cable it lights up, as soon as you release any pressure on the cable it cuts out. Think it's time to cut my losses & by a different brand.",earpieces comfortable issues sound quality would love issue charging cable inserts charger box poor bought first pair six months ago two months unit stopped charging cable stopped working complained promptly received complete set new headphones charging box cabletoday thing happened initially charger light comes cuts wriggle cable lights soon release pressure cable cuts think time cut losses different brand,3,Neutral,1
63,Amazing but not good for phone calls and meetings!,amazing good phone calls meetings,"Love This headphones however read this review for more insight.Love the bass however that doesn’t mean the volume is on top level. I would say very good quality of headphones, however increasing the volume you just get more bass.Very easy to wear, very comfortable.If you want to train with it it is perfect.However if you are looking for the headphones to use for call, meeting, walk in the park and talk on the phone this are not the one for you. This headphones literally record the noise around you more than your voice. Whenever I was on the phone the other person would hear everything more then myself. Horrible, I even recorded my phone call, the noise is so loud it’s not possible to talk over the phone if it’s just a bit of windy since the speaker of the other person can lateral hurt their ears. Not sure why this is the case, how come you can’t control the noise in the back, but I would say that’s why the price is not that high.For your own use for listening to podcasts & music and to",love headphones however read review insightlove bass however mean volume top level would say good quality headphones however increasing volume get bassvery easy wear comfortableif want train perfecthowever looking headphones use call meeting walk park talk phone one headphones literally record noise around voice whenever phone person would hear everything horrible even recorded phone call noise loud possible talk phone bit windy since speaker person lateral hurt ears sure case come cannot control noise back would say price highfor use listening podcasts music,4,Positive,2
64,Convenience Vs not great implementation.,convenience vs great implementation,"I'm not really sure how to rate these. They offer the convenience of wireless but have issues that people need to know about.Sound quality:[UPDATE SEE BELOW]The sound quality is just passable. Many people will disagree on this and I understand why. The sound separation is not great, the bass is not forward enough and the mids aren't great either. Everyone sounds like they have the opposite of a lisp with the letter 's'. That letter is annoyingly prominent.The wired betron BS10 have better bass, mids and general sound separation.The ergonomics:They are not that easy to handle because you will inevitably press touch sensitive surface and activate something when adjusting them or taking them off to store.They are however the most comfortable earphones I've ever had. I don't even realise they are there and use them to reduce noise from the environment when i want quiet.In black, they do however look like two chunky scarabs in your ear. They are too big aestheticallyFunctionality:The touch ",really sure rate offer convenience wireless issues people need know aboutsound qualityupdate see belowthe sound quality passable many people disagree understand sound separation great bass forward enough mids great either everyone sounds like opposite lisp letter letter annoyingly prominentthe wired betron bs10 better bass mids general sound separationthe ergonomicsthey easy handle inevitably press touch sensitive surface activate something adjusting taking storethey however comfortable earphones ever even realise use reduce noise environment want quietin black however look like two chunky scarabs ear big aestheticallyfunctionalitythe touch,3,Neutral,1
65,Great earphones,great earphones,Great earphones sound is good comfy to wear and the pink colour is great,great earphones sound good comfy wear pink colour great,5,Positive,2
66,Good ear buds,good ear buds,"Good sound quality overall with these T6 buds.Not tested the mic with calls, so unsure about the quality of that against any background noise or wind.The buds are easy to pair.Charged quickly, but it has a micro USB charger, not a USB C charger.",good sound quality overall t6 budsnot tested mic calls unsure quality background noise windthe buds easy paircharged quickly micro usb charger usb c charger,5,Positive,2
67,Great quality for the price,great quality price,Gave these headphones 4 stars only because haven't had them for too long yet.Since the purchase used every day - and am very impressed with quality and battery life so far. Frankly much superior to my previous Apple wireless headphones.Volume control is a bit tricky but I don't really need it.Would definitely recommend!,gave headphones four stars long yetsince purchase used every day impressed quality battery life far frankly much superior previous apple wireless headphonesvolume control bit tricky really need itwould definitely recommend,4,Positive,2
68,Mid-budget. NOT for 'Runners' !,midbudget runners,"Reasonably good sounds if you 'keep still' ! Find best ear- seal, but will still work their way out in dry ear !",reasonably good sounds keep still find best ear seal still work way dry ear,4,Positive,2
69,Works pretty good,works pretty good,I wasn't expecting much but it's all right I can't compare it to anything else this is the first one I've had the sound quality is good and the features to it's a bit more expensive than when I first purchased it I think it's good myself.,expecting much right cannot compare anything else first one sound quality good features bit expensive first purchased think good,5,Positive,2
70,Brilliant. Especially for bass lovers,brilliant especially bass lovers,"Excellent value for money. First thing you notice is the premium packaging. Intitial impression is that this is a quality product. The headphones are well secured in cut-out foam as is the charging case.It is essential to spend time trying the different eartips and achieving a comfortable snug seal. This helps the buds stay in place and achieves the sound clarity – especially for the lower frequencies. For some reason Tozo have changed the eartips and they are now much softer.You can use them one at a time. The stereo audio is mixed down into mono.Phone calls are played through both buds.My initial thoughts were that these are a little too bass heavy for me but the more I use them the more I am liking them – especially at this price point. The sound is clear and the stereo separation is fantastic.Tozo have implemented the controls really well. 1 tap to play, 2 taps to skip and hold to change volume.The charging case is nice and compact. I get about 19 hours playback including the charg",excellent value money first thing notice premium packaging intitial impression quality product headphones well secured cutout foam charging caseit essential spend time trying different eartips achieving comfortable snug seal helps buds stay place achieves sound clarity especially lower frequencies reason tozo changed eartips much softeryou use one time stereo audio mixed monophone calls played budsmy initial thoughts little bass heavy use liking especially price point sound clear stereo separation fantastictozo implemented controls really well one tap play two taps skip hold change volumethe charging case nice compact get nineteen hours playback including charg,5,Positive,2
71,Great Product even better Price.,great product even better price,"I wanted a bit of time to test these out properly before reviewing so 6 months later here goes. I wanted a good quality set of wireless waterproof earphones for running but didn’t want to pay the rip off cost of Apple Bose etc so I read some reviews and chose these and they definitely live up to expectation. Fast delivery and in good quality packaging, I purchased the black headphones, they look and feel great quality for the cost. Worked straight out of the box and has an 18month warranty sticker included, Sound quality is great - I like quite heavy music (Rock, metal etc) as well as some rap r&b drum & bass, so I tested a wide variety of music genres and also films and I am impressed with the quality in comparison to bigger brands used, the bass is just right and all sounds seem crisp and clear and the volume is more than sufficient unless you really want to wreck your eardrums! -Love the wireless charging feature and it’s so fast too, the headphones held a good 4+hrs continuous char",wanted bit time test properly reviewing six months later goes wanted good quality set wireless waterproof earphones running want pay rip cost apple bose etc read reviews chose definitely live expectation fast delivery good quality packaging purchased black headphones look feel great quality cost worked straight box 18month warranty sticker included sound quality great like quite heavy music rock metal etc well rap rb drum bass tested wide variety music genres also films impressed quality comparison bigger brands used bass right sounds seem crisp clear volume sufficient unless really want wreck eardrums love wireless charging feature fast headphones held good 4hrs continuous char,5,Positive,2
72,neat,neat,"bought to replace some ipods that were on the way out. I've not used them properly yet, but it'a neat package, and though the earbuds are a bit less comfortable than the Apple items I'm sure I'll get used to them. The only niggle I have is that the instructions are a bit vague about the controls which you have to work out by trial and error.",bought replace ipods way used properly yet ita neat package though earbuds bit less comfortable apple items sure get used niggle instructions bit vague controls work trial error,4,Positive,2
73,Get the right piece for your ear and the bass hits hard.. Good sound,get right piece ear bass hits hard good sound,Using my samsung galaxy watch as my music player its where i stored my music instead of my phone and i bluetooth these out to my earphones and you know it was so easy.. i put the watch in music player changed the audio to bluetooth pulled the earphones out my case it automatically paired...listening to 50 cent song A baltimore Love Thing and the bass is just damn good.. its not muddy or terrible it hits the lows hard just right..They kinda look like baby pacifiers in your ears though... I dont know ever since i saw the casey neistat video on youtube some bt earphone things like i can't un-see it.. noise cancellation is good. Gonna try using these for my runs instead of my cable and ipod. I just started running already damaged my knee at work so when it heals will give it a go for that.It has touch controls which for me are kinda annoying because i have weird ears so it takes a while to get it in just right and i'm constantly pausing the music or somehow rewind it at the start. Also tha,using samsung galaxy watch music player stored music instead phone bluetooth earphones know easy put watch music player changed audio bluetooth pulled earphones case automatically pairedlistening fifty cent song baltimore love thing bass damn good muddy terrible hits lows hard rightthey kind look like baby pacifiers ears though know ever since saw casey neistat video youtube bt earphone things like cannot unsee noise cancellation good going try using runs instead cable ipod started running already damaged knee work heals give go thatit touch controls kind annoying weird ears takes get right constantly pausing music somehow rewind start also tha,5,Positive,2
74,"Everything you need - good design, great price, very good quality sound and perfect fit for exercise",everything need good design great price good quality sound perfect fit exercise,"I have been searching for ages for some Bluetooth earphones which are waterproof/sweatproof, have good sound quality and are similar to Airpods in design without the Apple price. Well look no further, these tick all the boxes!They look great and much more expensive than they are. The charging case is perfect and works well to keep them charged up and has LED lights on the front to indicate how much charge it has left. In terms of the headphone design, I was worried that they would fall out all the time, especially as I wanted to use them for running, but with all the different size ear pieces, I found a perfect fit and so far they haven't budged. It takes a little bit of getting used to if you haven't used similar in-ear headphones before but they fit well and are comfortable to wear for a prolonged amount of time. Just make sure to place them in and twist them for a secure fit. The sound is of a really good quality with a good bass and is good at cancelling background noise. The touch",searching ages bluetooth earphones waterproofsweatproof good sound quality similar airpods design without apple price well look tick boxesthey look great much expensive charging case perfect works well keep charged led lights front indicate much charge left terms headphone design worried would fall time especially wanted use running different size ear pieces found perfect fit far budged takes little bit getting used used similar inear headphones fit well comfortable wear prolonged amount time make sure place twist secure fit sound really good quality good bass good cancelling background noise touch,5,Positive,2
75,kept falling from Ear,kept falling ear,Kept falling out of ears while walking. Touching the earpiece kept pausing music or altering the sound... this was really annoying... but had to keep touching the earpiece to keep it from falling out of ear. The sound lacked bass which made the music really tinny.,kept falling ears walking touching earpiece kept pausing music altering sound really annoying keep touching earpiece keep falling ear sound lacked bass made music really tinny,2,Negative,0
76,Stunning for the money,stunning money,"These are truly excellent earbuds. Got as a cheap replacement, but honestly blown away by the sound quality, especially for how much they cost. Would easily mistake them for a pair or airpods!Fantastic",truly excellent earbuds got cheap replacement honestly blown away sound quality especially much cost would easily mistake pair airpodsfantastic,5,Positive,2
77,"Buy something else, seriously.",buy something else seriously,"Ok - So they seem ok at face value, quite bulky on the part that sticks out the ear, but for £39.99 You can live with that.I use them for road riding (cycling) didn’t want to invest in an expensive pair because I was worried they might fall out at high speeds or with wind, they stayed solid for that which was good,However, when you put the hammer down and clench your jaw during a climb for example, the movement of my jaw caused the left one to fall out, 35 miles in so it wasn’t due to poor fit.Next 3 times were indoors on a turbo trainer and both of them fell out at separate times, once during light use.I use the smallest buds as my ear canals are small, I find them uncomfortable, a nightmare to seat correctly, and after a couple of hours on the bike I find I’ve got a blister like sore on the inside of my ear where the bud sits.I’m aware this could be down to my ear and not the headphones but I’ve had some £150 let’s say Sneats by Dr Stay, and they were fine, no pain - they just died a","ok seem ok face value quite bulky part sticks ear three thousand, nine hundred and ninety-nine live thati use road riding cycling want invest expensive pair worried might fall high speeds wind stayed solid goodhowever put hammer clench jaw climb example movement jaw caused left one fall thirty-five miles due poor fitnext three times indoors turbo trainer fell separate times light usei use smallest buds ear canals small find uncomfortable nightmare seat correctly couple hours bike find got blister like sore inside ear bud sitsi aware could ear headphones one hundred and fifty let us say sneats dr stay fine pain died",3,Neutral,1
78,Extremely impressed!,extremely impressed,"There is no point in comparing them with Apple products or any other products, why, because they are brilliant and at this price ,especially with the 30% off , they are probably the best wireless earbuds you can buy (even better than more expensive ones). I bought them for my wife and she's hearing disabled (one ear 82% off and the other one 55% off) so you can imagine my thoughts about the earbuds, but after charging them and use them for about 1 hour she was in heaven with tears in her eyes, i can hear my songs sharp and clear( with the volume at maximum and some tweaks in the phone 🧐) she said ,and i was relieved that my search finally ended 😁. Now her testimony: ""They are amazing i can finally hear my songs clear and the fact that they stay perfect and cover my whole ear it's brilliant, it's like a noise canceling thing, the songs are sharp and clear the bass a bit low (but that's good for her condition) and when I'm speaking on the phone i can hear clearly the other person, i love",point comparing apple products products brilliant price especially thirty probably best wireless earbuds buy even better expensive ones bought wife hearing disabled one ear eighty-two one fifty-five imagine thoughts earbuds charging use one hour heaven tears eyes hear songs sharp clear volume maximum tweaks phone said relieved search finally ended testimony amazing finally hear songs clear fact stay perfect cover whole ear brilliant like noise canceling thing songs sharp clear bass bit low good condition speaking phone hear clearly person love,5,Positive,2
79,Love the colour,love colour,They don't sit comfortably in the ear but the sound quality is good.,sit comfortably ear sound quality good,4,Positive,2
80,Perfect,perfect,"I've had these before but one bud stopped working so I bought 2 others, I've tried 3 different ones in total but I find these earphones to be the best better than jbl and anker, which I had high expectations of but the controls were confusing. These earphones are perfect so far, they're snug, hidden, fits well, doesn't fall out and its easy to control",one bud stopped working bought two others tried three different ones total find earphones best better jbl anker high expectations controls confusing earphones perfect far snug hidden fits well fall easy control,5,Positive,2
81,Fall out the ear too easily,fall ear easily,I dont want to complain too much as they are cheap and you get what you pay for.My main issue with them are they fall out the ear to easily there is no way you could go for a jog or run with them.Other than that I'm happy with them as I own them but would not purchase them again due to what I said above,want complain much cheap get pay formy main issue fall ear easily way could go jog run themother happy would purchase due said,3,Neutral,1
82,Highly recommended & quality premium headset,highly recommended quality premium headset,"I was looking to purchase Apple Airpods however could not justify the high end price for them which is crazy. After some research I decided to purchase the Tozo T6 due to great reviews but also I had a few Tozo accessories which were brillant quality.When the parcel arrived, quickly opened the packaging. WOW first impressions was really good. Everything inside the box had it's own compartment, unlike other branded headsets reviews I read which the headsets, charging cable, etc is just dumped in a box.The charging case feel really nice - smooth finish. It has weight which personally I like because its feels like you are holding something in your hand. The led lights are very visible & bright so you know the charge.The headsets look are brillant - they are much smaller then the images which is cool. Once you open the case, I went into iPhone bluetooth settings are paired straight away. Not hassle. Used then for 4.5 hours which is really good battery life.The quality of these headsets are",looking purchase apple airpods however could justify high end price crazy research decided purchase tozo t6 due great reviews also tozo accessories brillant qualitywhen parcel arrived quickly opened packaging wow first impressions really good everything inside box compartment unlike branded headsets reviews read headsets charging cable etc dumped boxthe charging case feel really nice smooth finish weight personally like feels like holding something hand led lights visible bright know chargethe headsets look brillant much smaller images cool open case went iphone bluetooth settings paired straight away hassle used forty-five hours really good battery lifethe quality headsets,5,Positive,2
83,Loved So Much I Bought A 2nd Pair,loved much bought 2nd pair,"These are the only earbuds I use.I was gifted a pink pair a few years ago and I use them all the time. The earbuds have held up over several holidays and international trips, days out in all weathers, hundreds of hours of use for all sorts of listening from music to live sports events. They are beyond comfy for me, something I struggle with as my ears as so small but the smallest included tips are an excellent fit (the 2nd smallest tips also fit me which is a rarity among earbud tips).Recently purchased a 2nd pair in green, gorgeous gorgeous colour and just as high quality as my pink pair.",earbuds usei gifted pink pair years ago use time earbuds held several holidays international trips days weathers hundreds hours use sorts listening music live sports events beyond comfy something struggle ears small smallest included tips excellent fit 2nd smallest tips also fit rarity among earbud tipsrecently purchased 2nd pair green gorgeous gorgeous colour high quality pink pair,5,Positive,2
84,Sound quality blew me away!,sound quality blew away,"Well all I can say is the hype is true, the packaging, build quality is all great.But the sound quality is definitely something I didn't expect. Just for the heck of it, I compared to my $150 Massdrop limited sale Sennheiser HD 58x that are open back and 150 ohms, so obviously way less portable friendly than the Tozo T6 and expensive. But the fact that I would even say the Tozo T6 is nearing competitive levels to the headphones is saying a lot. The only thing apparent is that its more bass heavy as with any other more standard headphones, but the clarity is definitely there and its not the case of muddy bass drowning out lyrics and treble. I'd say its 60-80% based on genres and how you EQ it, but again the fact that its even that close says a lot.Oh and of course I had to test out the waterproof-ness in a 20 minute shower. It surely survived with everything intact, although I learned quickly that my ears being wet makes them slippery and I can't even wear them. Also water does interfer",well say hype true packaging build quality greatbut sound quality definitely something expect heck compared one hundred and fifty massdrop limited sale sennheiser hd 58x open back one hundred and fifty ohms obviously way less portable friendly tozo t6 expensive fact would even say tozo t6 nearing competitive levels headphones saying lot thing apparent bass heavy standard headphones clarity definitely case muddy bass drowning lyrics treble would say six thousand and eighty based genres eq fact even close says lotoh course test waterproofness twenty minute shower surely survived everything intact although learned quickly ears wet makes slippery cannot even wear also water interfer,5,Positive,2
85,Great sound,great sound,I using these when I’m walking my dog .And the in the gym really impressed for the money,using walking dog gym really impressed money,4,Positive,2
86,"Great Buds,Great price",great budsgreat price,"OK, Here's a simple review of facts.Have tried all expensive models,and budget ones.Bought these on a whim to try,and after a small amount of adjustment toning the DEEP Bass down a little with my Wavelet app equaliser,(from playstore) have realised that these buds surpass all others I have tried.I know that sound is subjective but imo I have finally found a set that excites my ears beyond belief,and can certainly use the cliche ""It sounds like the band is directly in front of you.I have never heard a sound so clean but bites, clear and punchy, with vocals that hit.Honestly,they are that good,and can believe that most reviews on Amazon are genuine.If you listen to genre's like prog rock,rock,pop, classical etc then get them.find the tips that fit you,and perhaps even try some others like my favourites from my wired beyer soulbyrds which enhance the sound even more.This review is genuine,and comes from someone who has given themselves headaches with a two year search for the right buds.I",ok simple review factshave tried expensive modelsand budget onesbought whim tryand small amount adjustment toning deep bass little wavelet app equaliserfrom playstore realised buds surpass others triedi know sound subjective going finally found set excites ears beyond beliefand certainly use cliche sounds like band directly front youi never heard sound clean bites clear punchy vocals hithonestlythey goodand believe reviews amazon genuineif listen genres like prog rockrockpop classical etc get themfind tips fit youand perhaps even try others like favourites wired beyer soulbyrds enhance sound even morethis review genuineand comes someone given headaches two year search right budsi,5,Positive,2
87,Great price,great price,Excellent sound and value for money,excellent sound value money,5,Positive,2
