,Date,Place,Title,Rating,Content
68,1 January 2023,United Kingdom,Mid-budget. NOT for 'Runners' !,4,"Reasonably good sounds if you 'keep still' ! Find best ear- seal, but will still work their way out in dry ear !"
69,12 April 2023,United Kingdom,Works pretty good,5,I wasn't expecting much but it's all right I can't compare it to anything else this is the first one I've had the sound quality is good and the features to it's a bit more expensive than when I first purchased it I think it's good myself.
70,11 February 2021,United Kingdom,Brilliant. Especially for bass lovers,5,"Excellent value for money. First thing you notice is the premium packaging. Intitial impression is that this is a quality product. The headphones are well secured in cut-out foam as is the charging case.It is essential to spend time trying the different eartips and achieving a comfortable snug seal. This helps the buds stay in place and achieves the sound clarity – especially for the lower frequencies. For some reason Tozo have changed the eartips and they are now much softer.You can use them one at a time. The stereo audio is mixed down into mono.Phone calls are played through both buds.My initial thoughts were that these are a little too bass heavy for me but the more I use them the more I am liking them – especially at this price point. The sound is clear and the stereo separation is fantastic.Tozo have implemented the controls really well. 1 tap to play, 2 taps to skip and hold to change volume.The charging case is nice and compact. I get about 19 hours playback including the charg"
71,4 February 2021,United Kingdom,Great Product even better Price.,5,"I wanted a bit of time to test these out properly before reviewing so 6 months later here goes. I wanted a good quality set of wireless waterproof earphones for running but didn’t want to pay the rip off cost of Apple Bose etc so I read some reviews and chose these and they definitely live up to expectation. Fast delivery and in good quality packaging, I purchased the black headphones, they look and feel great quality for the cost. Worked straight out of the box and has an 18month warranty sticker included, Sound quality is great - I like quite heavy music (Rock, metal etc) as well as some rap r&b drum & bass, so I tested a wide variety of music genres and also films and I am impressed with the quality in comparison to bigger brands used, the bass is just right and all sounds seem crisp and clear and the volume is more than sufficient unless you really want to wreck your eardrums! -Love the wireless charging feature and it’s so fast too, the headphones held a good 4+hrs continuous char"
72,27 September 2022,United Kingdom,neat,4,"bought to replace some ipods that were on the way out. I've not used them properly yet, but it'a neat package, and though the earbuds are a bit less comfortable than the Apple items I'm sure I'll get used to them. The only niggle I have is that the instructions are a bit vague about the controls which you have to work out by trial and error."
73,21 June 2020,United Kingdom,Get the right piece for your ear and the bass hits hard.. Good sound,5,Using my samsung galaxy watch as my music player its where i stored my music instead of my phone and i bluetooth these out to my earphones and you know it was so easy.. i put the watch in music player changed the audio to bluetooth pulled the earphones out my case it automatically paired...listening to 50 cent song A baltimore Love Thing and the bass is just damn good.. its not muddy or terrible it hits the lows hard just right..They kinda look like baby pacifiers in your ears though... I dont know ever since i saw the casey neistat video on youtube some bt earphone things like i can't un-see it.. noise cancellation is good. Gonna try using these for my runs instead of my cable and ipod. I just started running already damaged my knee at work so when it heals will give it a go for that.It has touch controls which for me are kinda annoying because i have weird ears so it takes a while to get it in just right and i'm constantly pausing the music or somehow rewind it at the start. Also tha
74,20 April 2020,United Kingdom,"Everything you need - good design, great price, very good quality sound and perfect fit for exercise",5,"I have been searching for ages for some Bluetooth earphones which are waterproof/sweatproof, have good sound quality and are similar to Airpods in design without the Apple price. Well look no further, these tick all the boxes!They look great and much more expensive than they are. The charging case is perfect and works well to keep them charged up and has LED lights on the front to indicate how much charge it has left. In terms of the headphone design, I was worried that they would fall out all the time, especially as I wanted to use them for running, but with all the different size ear pieces, I found a perfect fit and so far they haven't budged. It takes a little bit of getting used to if you haven't used similar in-ear headphones before but they fit well and are comfortable to wear for a prolonged amount of time. Just make sure to place them in and twist them for a secure fit. The sound is of a really good quality with a good bass and is good at cancelling background noise. The touch"
75,25 July 2023,United Kingdom,kept falling from Ear,2,Kept falling out of ears while walking. Touching the earpiece kept pausing music or altering the sound... this was really annoying... but had to keep touching the earpiece to keep it from falling out of ear. The sound lacked bass which made the music really tinny.
76,16 April 2023,United Kingdom,Stunning for the money,5,"These are truly excellent earbuds. Got as a cheap replacement, but honestly blown away by the sound quality, especially for how much they cost. Would easily mistake them for a pair or airpods!Fantastic"
77,5 May 2020,United Kingdom,"Buy something else, seriously.",3,"Ok - So they seem ok at face value, quite bulky on the part that sticks out the ear, but for £39.99 You can live with that.I use them for road riding (cycling) didn’t want to invest in an expensive pair because I was worried they might fall out at high speeds or with wind, they stayed solid for that which was good,However, when you put the hammer down and clench your jaw during a climb for example, the movement of my jaw caused the left one to fall out, 35 miles in so it wasn’t due to poor fit.Next 3 times were indoors on a turbo trainer and both of them fell out at separate times, once during light use.I use the smallest buds as my ear canals are small, I find them uncomfortable, a nightmare to seat correctly, and after a couple of hours on the bike I find I’ve got a blister like sore on the inside of my ear where the bud sits.I’m aware this could be down to my ear and not the headphones but I’ve had some £150 let’s say Sneats by Dr Stay, and they were fine, no pain - they just died a"
78,1 May 2021,United Kingdom,Extremely impressed!,5,"There is no point in comparing them with Apple products or any other products, why, because they are brilliant and at this price ,especially with the 30% off , they are probably the best wireless earbuds you can buy (even better than more expensive ones). I bought them for my wife and she's hearing disabled (one ear 82% off and the other one 55% off) so you can imagine my thoughts about the earbuds, but after charging them and use them for about 1 hour she was in heaven with tears in her eyes, i can hear my songs sharp and clear( with the volume at maximum and some tweaks in the phone 🧐) she said ,and i was relieved that my search finally ended 😁. Now her testimony: ""They are amazing i can finally hear my songs clear and the fact that they stay perfect and cover my whole ear it's brilliant, it's like a noise canceling thing, the songs are sharp and clear the bass a bit low (but that's good for her condition) and when I'm speaking on the phone i can hear clearly the other person, i love"
79,26 December 2022,United Kingdom,Love the colour,4,They don't sit comfortably in the ear but the sound quality is good.
80,10 March 2023,United Kingdom,Perfect,5,"I've had these before but one bud stopped working so I bought 2 others, I've tried 3 different ones in total but I find these earphones to be the best better than jbl and anker, which I had high expectations of but the controls were confusing. These earphones are perfect so far, they're snug, hidden, fits well, doesn't fall out and its easy to control"
81,5 January 2023,United Kingdom,Fall out the ear too easily,3,I dont want to complain too much as they are cheap and you get what you pay for.My main issue with them are they fall out the ear to easily there is no way you could go for a jog or run with them.Other than that I'm happy with them as I own them but would not purchase them again due to what I said above
82,24 November 2019,United Kingdom,Highly recommended & quality premium headset,5,"I was looking to purchase Apple Airpods however could not justify the high end price for them which is crazy. After some research I decided to purchase the Tozo T6 due to great reviews but also I had a few Tozo accessories which were brillant quality.When the parcel arrived, quickly opened the packaging. WOW first impressions was really good. Everything inside the box had it's own compartment, unlike other branded headsets reviews I read which the headsets, charging cable, etc is just dumped in a box.The charging case feel really nice - smooth finish. It has weight which personally I like because its feels like you are holding something in your hand. The led lights are very visible & bright so you know the charge.The headsets look are brillant - they are much smaller then the images which is cool. Once you open the case, I went into iPhone bluetooth settings are paired straight away. Not hassle. Used then for 4.5 hours which is really good battery life.The quality of these headsets are"
83,8 December 2022,United Kingdom,Loved So Much I Bought A 2nd Pair,5,"These are the only earbuds I use.I was gifted a pink pair a few years ago and I use them all the time. The earbuds have held up over several holidays and international trips, days out in all weathers, hundreds of hours of use for all sorts of listening from music to live sports events. They are beyond comfy for me, something I struggle with as my ears as so small but the smallest included tips are an excellent fit (the 2nd smallest tips also fit me which is a rarity among earbud tips).Recently purchased a 2nd pair in green, gorgeous gorgeous colour and just as high quality as my pink pair."
84,17 July 2020,United Kingdom,Sound quality blew me away!,5,"Well all I can say is the hype is true, the packaging, build quality is all great.But the sound quality is definitely something I didn't expect. Just for the heck of it, I compared to my $150 Massdrop limited sale Sennheiser HD 58x that are open back and 150 ohms, so obviously way less portable friendly than the Tozo T6 and expensive. But the fact that I would even say the Tozo T6 is nearing competitive levels to the headphones is saying a lot. The only thing apparent is that its more bass heavy as with any other more standard headphones, but the clarity is definitely there and its not the case of muddy bass drowning out lyrics and treble. I'd say its 60-80% based on genres and how you EQ it, but again the fact that its even that close says a lot.Oh and of course I had to test out the waterproof-ness in a 20 minute shower. It surely survived with everything intact, although I learned quickly that my ears being wet makes them slippery and I can't even wear them. Also water does interfer"
85,14 December 2022,United Kingdom,Great sound,4,I using these when I’m walking my dog .And the in the gym really impressed for the money
86,31 October 2021,United Kingdom,"Great Buds,Great price",5,"OK, Here's a simple review of facts.Have tried all expensive models,and budget ones.Bought these on a whim to try,and after a small amount of adjustment toning the DEEP Bass down a little with my Wavelet app equaliser,(from playstore) have realised that these buds surpass all others I have tried.I know that sound is subjective but imo I have finally found a set that excites my ears beyond belief,and can certainly use the cliche ""It sounds like the band is directly in front of you.I have never heard a sound so clean but bites, clear and punchy, with vocals that hit.Honestly,they are that good,and can believe that most reviews on Amazon are genuine.If you listen to genre's like prog rock,rock,pop, classical etc then get them.find the tips that fit you,and perhaps even try some others like my favourites from my wired beyer soulbyrds which enhance the sound even more.This review is genuine,and comes from someone who has given themselves headaches with a two year search for the right buds.I"
87,19 May 2023,United Kingdom,Great price,5,Excellent sound and value for money
88,25 January 2020,United Kingdom,Best Pair of Budget Headphones You Can Buy,5,"I have been a serious techie in the past and had a sweet tooth for all things cutting edge AV. As I matured, i learned to live without the latest gadget, favouring a more need based approach. Let's face it, a lot of technology is a nice to have, not a must have.I, like most people, saw the appeal and allure of the Apple Airpods. Apple have a way of marketing their products to create the appearance of quality. Therefore I was sceptical of finding a comparable earbuds for a reasonable price.Oh how I was surprised. I read these reviews and was hopeful I had picked a decent pair.I got lucky. These earphones are really top notch. The sound quality is stunning full stop and the fit would in no way come loose (I suspect even up to high intensity use) IF fitted with the correct rubber buds and inserted fully into the ear. Without going this and, as previous reviews state, you lose a lot of the quality these have to offer.I have found if using You Tube Music, to get the most out of these phones"
89,2 January 2021,United Kingdom,Very good value,4,"Overall these earbuds are very good value for what they cost.- For me the bass is a little too heavy (even as a fan of dance music) and the highs a little too tinny. But at a fraction of the price of mainstream earbuds such as AirPods (whose sound quality is nothing to write home about) these are a bargain.- sensitivity of the buds: I find that it’s hard to readjust these in your ear without accidentally pressing them and initiating “next” or “previous” track.- The packaging is very slick and “Apple”esque. The buds and case similarly well made and nice to hold.- Charging is ultra fast but I haven’t used them heavily to tell how fast the battery runs out.- Haven’t done a full rigorous workout in these. Initially they didn’t feel as if they would stay put, but found that they did not dislodge despite doing a few jumping jacks with them.Overall if you’re not too fussy about having the top tier sound quality and want a pair of wireless earbuds whilst running errands/gaming, these are extre"
90,19 May 2021,United Kingdom,Clear sound; comfortable fit,4,"I bought these after my husband bought a pair (I let him be the guinea pig!) and although they're not a famous brand, they're perfect for me. They feel really comfortable even when I've been wearing them a long time (and I really like that they come with a few different buds to try and get the right fit). The bluetooth pairing worked immediately and I've had no issues with them communicating with either my Huawei phone or my iPad (although my husband had a couple of teething issues where the connection with his iPhone dropped, these just sorted themselves out after a couple of uses). The sound is crystal clear, whether I use one earbud or two. I haven't yet used them for a phone call, unfortunately, so I can't comment on this. The build of the case is a little plasticky-feeling, but it's strong enough and it charges the earbuds very quickly. I get a surprising amount of playback time when they're fully charged, too.Finally, it might not be relevant, but such a pretty colour!"
91,26 May 2020,United Kingdom,Great waterproof earbuds.,5,"Just in receipt of these, and must say for the price they have a quality feel about them. They connected with my Samsung phone without any problems.The sound is excellent. I watched an online review which said these aren't very loud and they preferred the T10's because they were louder. I don't know what this reviewers ears are like because I have it set on around a third of the volume and is plenty loud enough.The case is quality, magnets hold the buds in place and the buds lights turn red until charged. Only negative is that the buds are a little fiddle to remove due to the magnets and the buds having a shiny surface.The sound is very good. I'm not an audio freak so if they play my music and it sounds good to me, I'm happy, which they do.The touch controls are easy and responsive. Left or right, one press will play and pause. 2 presses left earbuds will play previous, 2 presses right earbuds will play next. Press and hold left is volume down, press and hold right is volume up. Likewi"
92,28 March 2023,United Kingdom,These are amazing,5,"I have went threw and lost (or washed) apple ear pods that I decided to buy a cheap set of Amazon, I honestly can’t believe how good these are for the price! Really good noise, taps on ear pods work perfectly every time, love them!!"
93,4 August 2021,United Kingdom,Astonishingly good bass from such tiny buds!,5,"It's hard to believe these tiny buds can produce such bass sounds. In fact it's rather weird, because with full size speakers and woofers, you'd be feeling the pressure of the sounds in your chest, but all you experience with these are magnificent sounds in your head! If you don't believe me, try playing DERP by Bassjackers and MAKJ to experience just how deep the bass goes - incredible! - and at such a low price point too.I bought them to use in the hot tub as they're waterproof and because, being inserted well into the ear, they'd cancel out much of the noise of the tub - and they do - but now I won't be using anything else. Add the convenience of wireless charging, automatic pairing and the ability to use one bud at a time for mono listening, of Audio books for instance, while the other is charging and you need never run out of battery. Highly recommended!Update. I accidentally left these in their pod in a trouser pocket and they went through a complete hot wash and dry cycle. Feari"
94,25 August 2021,United Kingdom,Brilliant earphones,5,"Pros:- Nice packaging, a lot of different sized tips included.- Case is nicely sized, fits comfortably into even small pockets without protruding like a sore thumb.- Good and comfortable fit on the earphones.- Very good balance on sound quality. Enough bass to hear drops, but not overpowering. Clear high end without excessive boost.- Earphones drop into the case with a guaranteed connection and can be easily taken out. The hinge is very smooth, almost like a fidget toy.- Almost no latency, can watch Netflix without noticeable delay.- Battery life is good.- Controls are easy to operate, but won't engage accidentally when adjusting. The hold-to-change-volume is brilliant when running.- Pretty solid connection so far.- Loud output. Where I usually keep my phone volume around 60% with most headphones, I keep these at around 20% for the same volume.Cons:- Case charge LEDs can be difficult to make out in direct sunlight.- No indication on charging progress of earphones (except for a red LED "
95,18 June 2020,United Kingdom,"Overall a good purchase, with some reservations",4,"This is overall a good product, with fantastic audio quality and build. However I do have a few concerns:1. Taking out the earbuds out of the casing can be challenging. The top of the earbuds that one would use to hold and pull the earbuds out, is smooth and slippery, which makes it harder to grip. Ideally the top bit should have been angled or had some edges to make gripping easier.2. Batter life is not as great as promoted. It roughly lasts around 3 hours with continuous play.3. There are times if one of the earbud is used and the other earbud is at certain angle or location, the audio breaks. Probably due to some interference.Overall its a good product, however the pebble stone shape could be improved to have a better grip while holding or taking the earbuds out of the casing.The touch system on the earbuds is quite sensitive, which results in unintentional playback interruption. I would not say it is a fault, as the vendor would probably wanted to make a smoother touch experience, "
96,11 December 2019,United Kingdom,"Comfy with great sound, and cost effective",5,"I have been debating getting wireless in ear for a while now and as Tozo had an offering and my experience of their other products is brilliant, I gave them a go. So glad I did. The kit is neatly packaged and comes with 3 sizes of ear piece. I have left the ones installed in as they seem to fit best. I find this one of the biggest pros in purchasing these earbuds. We are not a one size fits all and the fruit based manufacturer of over priced ear buds would do well to remember this. Second decent pro for me is the shape and fit. Nothing hanging down outside of your ear, and a really comfortable fit. Third pro (price vs sound quality). At this price you expect the sound to be average, which it is not. Good bass and level on the high end too. I tried varying types of music to get a a decent sample size and it was great across all genres. At this price you can’t go wrong. Fourth pro, they are easy to operate. The instructions that come with the product are clear and easy to follow, but as "
97,23 November 2019,United Kingdom,"Great performance, nice stable fit and superb value!",5,"I really like these earbuds - I would sum them up as great performance, nice stable fit and superb value.I had ordered and returned over 10 different earbud models from other vendors (some cheaper, some more expensive) before I found these T6s from Tozo and am finally satisfied.! I have used these with my laptop and my mobile, I have used them for work phone & video calls and been out for two runs using them, during one of which I got caught in the rain.The sound quality is great, good base (but not too heavy which I like) and colleagues reported they could hear me well through the mic with no difference compared to my traditional wired headset. Key for me was the comfort and stability of the fit. The main reason I sent back the others I tried was that they either hurt my ears after a time or would fall out while I exercised ran, however I had neither of these problems with the Tozo T6s. I found the smallest of the 4 sets of earbuds provided the best fit for me, with 4 to choose from I"
98,1 May 2022,United Kingdom,These are amazing,5,"I have been using these for months and can say they are amazing. I was surprised by the sound quality, they are extremely good for the price. The durability of these EarPods have surprised me too as they have been used whilst exercising and were being used on a daily. The charge lasts for a long time for my usage and I can say it lasted longer than other larger branded EarPods that I have used. It comes with different ear cushions that you can choose from and I haven’t had these EarPods falling out of my ears either.The Bluetooth connectivity is practically instant and I had no issues setting this up. I also had no issue changing from one ear to the other or going from one EarPods to both. The Bluetooth automatically adjusts once you have set up the connectivity which is all but a click of a button on your device. It is well worth the buy and I’d be surprised if you were disappointed by these since these have been perfect."
99,1 July 2020,United Kingdom,Life-Changing!!,5,"I confirm from the outset that I have only had these earphones for a day but OH MY GOODNESS I cannot believe I have not been using them all of this time!I was fed up of the wires of my earphones been tugged by my toddler and getting tangled up in my clothes/arms/everything(!!!) when I was out and about. I decided to try wireless earphones. I was overwhelmed by how many were on the market. I needed reliable, waterproof earphones which also had a mic and looked good. After much research I came across the T6's. I was very cautious about buying them because they were not manufactured by one of the big well known brands and were not reviewed on the various tech websites out there. I could not however ignore the overwhelmingly positive feedback they had on Amazon. So far, I have found the reviews to be accurate. These T6's look fantastic. They are super easy to set up. The sound quality is excellent. They are easy to operate. The charging case is adorable and small enough to transport around"
